"Scenario","ScenarioSubtitle","time","XY","R2_C","R2_full","R2_incr"
"Scenario 4A","Part-Step",5,"Y",0.132645965094551,0.407733545492037,0.275087580397486
"Scenario 5A","Part-Linear",1,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 5A","Part-Linear",2,"Y",0.158165128409995,0.466911995835532,0.308746867425537
"Scenario 5A","Part-Linear",3,"Y",0.132645965094551,0.415753105374589,0.283107140280038
"Scenario 5A","Part-Linear",4,"Y",0.113855337895057,0.373848490999983,0.259993153104926
"Scenario 5A","Part-Linear",5,"Y",0.101793246811512,0.343265363440574,0.241472116629062
"Scenario 5C","Part-Proportional",1,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 5C","Part-Proportional",2,"Y",0.199526086467353,0.532668224563472,0.333142138096118
"Scenario 5C","Part-Proportional",3,"Y",0.171843936809773,0.490751939868077,0.318908003058304
"Scenario 5C","Part-Proportional",4,"Y",0.258331793986681,0.612842516323899,0.354510722337218
"Scenario 5C","Part-Proportional",5,"Y",0.102236548632935,0.356880857758113,0.254644309125178
"Scenario 4B","Part-Step Opposite",1,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 4B","Part-Step Opposite",2,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 4B","Part-Step Opposite",3,"Y",0.206506181954306,0.533702772434397,0.327196590480091
"Scenario 4B","Part-Step Opposite",4,"Y",0.206506181954306,0.544495029829713,0.337988847875406
"Scenario 4B","Part-Step Opposite",5,"Y",0.206506181954306,0.547973317591541,0.341467135637235
"Scenario 5B","Part-Linear Opposite",1,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 5B","Part-Linear Opposite",2,"Y",0.194269146898107,0.523065477601065,0.328796330702958
"Scenario 5B","Part-Linear Opposite",3,"Y",0.206060796696946,0.540503652903462,0.334442856206517
"Scenario 5B","Part-Linear Opposite",4,"Y",0.225787777237903,0.573016568276519,0.347228791038616
"Scenario 5B","Part-Linear Opposite",5,"Y",0.25345008852098,0.620653213012959,0.36720312449198
"Scenario 5D","Part-Proportional Opposite",1,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 5D","Part-Proportional Opposite",2,"Y",0.190688643505664,0.518818415782427,0.328129772276763
"Scenario 5D","Part-Proportional Opposite",3,"Y",0.191551806143246,0.519306703334483,0.327754897191237
"Scenario 5D","Part-Proportional Opposite",4,"Y",0.201398518232759,0.527099781804217,0.325701263571458
"Scenario 5D","Part-Proportional Opposite",5,"Y",0.2518785088517,0.56694511102016,0.31506660216846
"Scenario 6","Chaotic Effects",1,"Y",0.190412827841388,0.51867591180339,0.328263083962002
"Scenario 6","Chaotic Effects",2,"Y",0.0955597762963652,0.345475140072757,0.249915363776392
"Scenario 6","Chaotic Effects",3,"Y",0.0879718530457331,0.306599681567714,0.218627828521981
"Scenario 6","Chaotic Effects",4,"Y",0.0911355600418676,0.308632562468716,0.217497002426848
"Scenario 6","Chaotic Effects",5,"Y",0.058924819479388,0.248817579397372,0.189892759917984
