"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"DPM",3,"Scenario~0","No~Confounding","Scenario 0",6.25568457394732e-09
"DPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.17171192636032e-08
"DPM",3,"Scenario~2","Step","Scenario 2",0.0137559684820902
"DPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.00707823024398885
"DPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.00396867598220093
"DPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0095059649436028
"DPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00493199145148083
"DPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00297934029952366
"DPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00395614417617367
"DPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00959866154661824
"DPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00223274127596892
"DPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.00648223906140022
"DPM",4,"Scenario~0","No~Confounding","Scenario 0",1.14285126501655e-08
"DPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.01940073637017e-08
"DPM",4,"Scenario~2","Step","Scenario 2",0.0155479977457684
"DPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0120680483417769
"DPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0189648727944757
"DPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0113904125741063
"DPM",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00459395250174017
"DPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0084767529897434
"DPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00457652504023047
"DPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0211443595660394
"DPM",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00920626475506752
"DPM",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0254387751511585
"DPM",5,"Scenario~0","No~Confounding","Scenario 0",9.47470804613794e-09
"DPM",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",6.76250923032398e-09
"DPM",5,"Scenario~2","Step","Scenario 2",0.0190244225363636
"DPM",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0327874333053747
"DPM",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0251086098864553
"DPM",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0130161845574837
"DPM",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00441151585694632
"DPM",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0230107070826493
"DPM",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00955090425062078
"DPM",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.027276950558816
"DPM",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0147826779541554
"DPM",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.0176839627901018
"DPM-free",2,"Scenario~0","No~Confounding","Scenario 0",0.012855896826926
"DPM-free",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",4.17058081718236e-10
"DPM-free",2,"Scenario~2","Step","Scenario 2",5.47265409531337e-09
"DPM-free",2,"Scenario~3*italic('A')","Linear","Scenario 3A",2.55405205203955e-09
"DPM-free",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",4.44169504928094e-09
"DPM-free",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00585268558878385
"DPM-free",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0065750271496044
"DPM-free",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00527260507264998
"DPM-free",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00278336779436673
"DPM-free",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0045383793177466
"DPM-free",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00596921350992288
"DPM-free",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.00593270836580811
"DPM-free",3,"Scenario~0","No~Confounding","Scenario 0",0.0728962125779864
"DPM-free",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.07791279882857e-09
"DPM-free",3,"Scenario~2","Step","Scenario 2",2.95247822057296e-09
"DPM-free",3,"Scenario~3*italic('A')","Linear","Scenario 3A",8.27335506243801e-10
"DPM-free",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",2.28115972093474e-08
"DPM-free",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00556670566010055
"DPM-free",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00379648871494653
"DPM-free",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00138495100065713
"DPM-free",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.000829656305498918
"DPM-free",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00252987187051805
"DPM-free",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00627490249035612
"DPM-free",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.00990222924357291
"DPM-free",4,"Scenario~0","No~Confounding","Scenario 0",0.00685599262494275
"DPM-free",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.79698335899661e-09
"DPM-free",4,"Scenario~2","Step","Scenario 2",1.46177923991284e-08
"DPM-free",4,"Scenario~3*italic('A')","Linear","Scenario 3A",2.98210095208247e-09
"DPM-free",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",9.3660175504311e-09
"DPM-free",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00975862801366573
"DPM-free",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00565475891040206
"DPM-free",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00709783154063197
"DPM-free",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00106504711497825
"DPM-free",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0140924070076101
"DPM-free",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0128493592467436
"DPM-free",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0271795972323246
"DPM-free",5,"Scenario~0","No~Confounding","Scenario 0",1.71393581197461e-08
"DPM-free",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.31129009949138e-09
"DPM-free",5,"Scenario~2","Step","Scenario 2",2.29380984248005e-09
"DPM-free",5,"Scenario~3*italic('A')","Linear","Scenario 3A",4.19094715147324e-09
"DPM-free",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",3.29880202991813e-08
"DPM-free",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0108285464538499
"DPM-free",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00667082220849858
"DPM-free",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0191340200741996
"DPM-free",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00650925257446441
"DPM-free",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00587355720818147
"DPM-free",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0140414096191302
"DPM-free",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.0138555987746771
"RICLPM",2,"Scenario~0","No~Confounding","Scenario 0",8.24657211886011e-09
"RICLPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",7.56591606583309e-09
"RICLPM",2,"Scenario~2","Step","Scenario 2",0.0283909951667451
"RICLPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.03470585853689
"RICLPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0315902025358154
"RICLPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00860087565963032
"RICLPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00284862921475304
"RICLPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0215288435344159
"RICLPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00755276604003645
"RICLPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0103330829906953
"RICLPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00689962755999505
"RICLPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0388829769831682
"RICLPM",3,"Scenario~0","No~Confounding","Scenario 0",1.11834559321856e-08
"RICLPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",8.50153800538635e-09
"RICLPM",3,"Scenario~2","Step","Scenario 2",0.0534510125767022
"RICLPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0286933452672501
"RICLPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0603654394799138
"RICLPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0262695696487618
"RICLPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00741530839149328
"RICLPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0150036328294032
"RICLPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00125669032628146
"RICLPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0270072807173799
"RICLPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00551312322618276
"RICLPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0125054031935916
"RICLPM",4,"Scenario~0","No~Confounding","Scenario 0",1.29232435886958e-08
"RICLPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",5.62725022865959e-09
"RICLPM",4,"Scenario~2","Step","Scenario 2",0.0517099637843332
"RICLPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.00592577573076484
"RICLPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0770111579836619
"RICLPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0159413596096894
"RICLPM",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00385810406763653
"RICLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0106268744700671
"RICLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0067020123326509
"RICLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0346769127485256
"RICLPM",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00635342261907023
"RICLPM",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.021500027094329
