"lhs","op","rhs","est","se","z","model","time","effect_type","effect","estRef","Bias","RelBiasPercent","Scenario","ScenarioSubtitle","effect_parsed","model_lab","Scenario_plain"
"X3","~","X2",0.200000000684163,0.0598446539391557,3.34198608429591,"model_dpm",3,"auto","X[t-1] -> X[t]",0.199999999903752,7.80410375211815e-10,3.90205187793689e-07,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","DPM","Scenario 0"
"Y3","~","Y2",0.300000004160492,0.0604370789647194,4.96384023350333,"model_dpm",3,"auto","Y[t-1] -> Y[t]",0.300000000106352,4.05413946857891e-09,1.35137982238056e-06,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","DPM","Scenario 0"
"X3","~","X2",0.121484151317155,NA,NA,"model_dpm_free",3,"auto","X[t-1] -> X[t]",0.199999999903752,-0.0785158485865976,-39.2579243121912,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","DPM-free","Scenario 0"
"Y3","~","Y2",0.173198857351949,NA,NA,"model_dpm_free",3,"auto","Y[t-1] -> Y[t]",0.300000000106352,-0.126801142754403,-42.2670475698171,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","DPM-free","Scenario 0"
"X3","~","X2",0.199999994441366,0.0550287496649537,3.63446372412746,"model_riclpm",3,"auto","X[t-1] -> X[t]",0.199999999903752,-5.46238684839828e-09,-2.7311934255135e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","RICLPM","Scenario 0"
"Y3","~","Y2",0.300000003216513,0.0547789504510153,5.47655624553779,"model_riclpm",3,"auto","Y[t-1] -> Y[t]",0.300000000106352,3.11016062903846e-09,1.03672020931196e-06,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","RICLPM","Scenario 0"
"X3","~","X2",0.122863269797438,NA,NA,"model_riclpm_free",3,"auto","X[t-1] -> X[t]",0.199999999903752,-0.0771367301063142,-38.5683650717177,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","RICLPM-free","Scenario 0"
"Y3","~","Y2",0.373764311217508,NA,NA,"model_riclpm_free",3,"auto","Y[t-1] -> Y[t]",0.300000000106352,0.0737643111111554,24.5881036950018,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"X4","~","X3",0.200000000010225,0.0505964425471734,3.95284707662512,"model_covariates",4,"auto","X[t-1] -> X[t]",0.200000000010225,0,0,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","True Model","Scenario 0"
"Y4","~","Y3",0.299999999988701,0.0481663782837546,6.22841099285816,"model_covariates",4,"auto","Y[t-1] -> Y[t]",0.299999999988701,0,0,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","True Model","Scenario 0"
