"Scenario","ScenarioSubtitle","time","XY","R2_C","R2_full","R2_incr"
"Scenario 4A","Part-Step",5,"Y",0.316330256819989,0.784001928449501,0.467671671629512
"Scenario 5A","Part-Linear",1,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 5A","Part-Linear",2,"Y",0.346895822222395,0.853905773609934,0.507009951387539
"Scenario 5A","Part-Linear",3,"Y",0.316330256819989,0.795610131133989,0.479279874313999
"Scenario 5A","Part-Linear",4,"Y",0.289128959475558,0.740498014503038,0.45136905502748
"Scenario 5A","Part-Linear",5,"Y",0.265291930189102,0.690688558841752,0.42539662865265
"Scenario 5C","Part-Proportional",1,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 5C","Part-Proportional",2,"Y",0.374645076726774,0.897755906756896,0.523110830030123
"Scenario 5C","Part-Proportional",3,"Y",0.387448794889359,0.915299392148041,0.527850597258682
"Scenario 5C","Part-Proportional",4,"Y",0.365460719486584,0.884877753873894,0.51941703438731
"Scenario 5C","Part-Proportional",5,"Y",0.401309057088812,0.933534234676876,0.532225177588065
"Scenario 4B","Part-Step Opposite",1,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 4B","Part-Step Opposite",2,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 4B","Part-Step Opposite",3,"Y",0.388983679053575,0.914443353495668,0.525459674442093
"Scenario 4B","Part-Step Opposite",4,"Y",0.388983679053575,0.92012987556205,0.531146196508475
"Scenario 4B","Part-Step Opposite",5,"Y",0.388983679053575,0.922007535348466,0.533023856294891
"Scenario 5B","Part-Linear Opposite",1,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 5B","Part-Linear Opposite",2,"Y",0.382698142053965,0.909757556718925,0.52705941466496
"Scenario 5B","Part-Linear Opposite",3,"Y",0.388538293796214,0.918721019832787,0.530182726036573
"Scenario 5B","Part-Linear Opposite",4,"Y",0.398346110909523,0.935233080888526,0.536886969979003
"Scenario 5B","Part-Linear Opposite",5,"Y",0.412121593393891,0.959303096072626,0.547181502678735
"Scenario 5D","Part-Proportional Opposite",1,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 5D","Part-Proportional Opposite",2,"Y",0.38086692495376,0.907486411057432,0.526619486103672
"Scenario 5D","Part-Proportional Opposite",3,"Y",0.38091362384677,0.907147107658784,0.526233483812014
"Scenario 5D","Part-Proportional Opposite",4,"Y",0.38116175560385,0.907919220374875,0.526757464771025
"Scenario 5D","Part-Proportional Opposite",5,"Y",0.381510960073491,0.907177476169418,0.525666516095927
"Scenario 6","Chaotic Effects",1,"Y",0.380825655682775,0.90735182360678,0.526526167924004
"Scenario 6","Chaotic Effects",2,"Y",0.429617989482907,0.968793661520122,0.539175672037216
"Scenario 6","Chaotic Effects",3,"Y",0.413129937883672,0.956515629292065,0.543385691408393
"Scenario 6","Chaotic Effects",4,"Y",0.41439069101802,0.961628108058564,0.547237417040544
"Scenario 6","Chaotic Effects",5,"Y",0.354550009085642,0.86564563554925,0.511095626463609
