"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"CLPM lag 2",4,"Scenario~0","No~Confounding","Scenario 0",3.32657592397953e-12
"CLPM lag 2",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.135205844642686
"CLPM lag 2",4,"Scenario~2","Step","Scenario 2",0.241863177989211
"CLPM lag 2",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.166598817306315
"CLPM lag 2",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.135654484953693
"CLPM lag 2",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.166688386045186
"CLPM lag 2",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.154173887991777
"CLPM lag 2",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.141541060244438
"CLPM lag 2",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.14930745962497
"CLPM lag 2",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.135237588898474
"CLPM lag 2",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.131690555962724
"CLPM lag 2",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.117376780967476
"CLPM lag 2",5,"Scenario~0","No~Confounding","Scenario 0",8.56321041006475e-12
"CLPM lag 2",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.135205844639495
"CLPM lag 2",5,"Scenario~2","Step","Scenario 2",0.186576921015493
"CLPM lag 2",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.196308155664886
"CLPM lag 2",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0878949987958472
"CLPM lag 2",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.15006319431815
"CLPM lag 2",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.147252975764785
"CLPM lag 2",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.151425494108569
