"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"CLPM lag 2",3,"Scenario~0","No~Confounding","Scenario 0",1.92284128897047e-09
"CLPM lag 2",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.00297779436061874
"CLPM lag 2",3,"Scenario~2","Step","Scenario 2",0.00178667573868266
"CLPM lag 2",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0166327618472839
"CLPM lag 2",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0193142773186587
"CLPM lag 2",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0084022701788619
"CLPM lag 2",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00660228375197087
"CLPM lag 2",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.000260160735553697
"CLPM lag 2",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00317679975383567
"CLPM lag 2",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0130881397596454
"CLPM lag 2",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00453011361372332
"CLPM lag 2",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0231747800411429
"CLPM lag 2",4,"Scenario~0","No~Confounding","Scenario 0",1.30649978336006e-09
"CLPM lag 2",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.00297779436951758
"CLPM lag 2",4,"Scenario~2","Step","Scenario 2",0.0454068712694523
"CLPM lag 2",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0230201068580157
"CLPM lag 2",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0307083961805442
"CLPM lag 2",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0139971899982971
"CLPM lag 2",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.013117993648528
"CLPM lag 2",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.000382587072462179
"CLPM lag 2",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00993410559849493
"CLPM lag 2",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0204471311927043
"CLPM lag 2",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.000420337760664954
"CLPM lag 2",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0466747764368504
"CLPM lag 2",5,"Scenario~0","No~Confounding","Scenario 0",4.74106448544731e-10
"CLPM lag 2",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.00297779435164534
"CLPM lag 2",5,"Scenario~2","Step","Scenario 2",0.04456119304854
"CLPM lag 2",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0183327784506183
"CLPM lag 2",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0194198885539924
"CLPM lag 2",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0156449875444266
"CLPM lag 2",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00938123966530892
