"Scenario","ScenarioSubtitle","time","XY","R2_C","R2_full","R2_incr"
"Scenario 4A","Part-Step",3,"X",0.303863112472359,0.609786522909475,0.305923410437116
"Scenario 4A","Part-Step",4,"X",0.303863112472359,0.616676742042001,0.312813629569642
"Scenario 4A","Part-Step",5,"X",0.303863112472359,0.616548313756547,0.312685201284188
"Scenario 5A","Part-Linear",1,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 5A","Part-Linear",2,"X",0.249296329828684,0.535209330423888,0.285913000595205
"Scenario 5A","Part-Linear",3,"X",0.266375883698439,0.558451169422262,0.292075285723823
"Scenario 5A","Part-Linear",4,"X",0.284564811246331,0.581682948006929,0.297118136760597
"Scenario 5A","Part-Linear",5,"X",0.303863112472359,0.605343384515542,0.301480272043184
"Scenario 5C","Part-Proportional",1,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 5C","Part-Proportional",2,"X",0.213387027455133,0.483558505641367,0.270171478186234
"Scenario 5C","Part-Proportional",3,"X",0.254776161643644,0.539253147813851,0.284476986170207
"Scenario 5C","Part-Proportional",4,"X",0.190094916935038,0.449291153287283,0.259196236352245
"Scenario 5C","Part-Proportional",5,"X",0.298879725927264,0.597994789482786,0.299115063555523
"Scenario 4B","Part-Step Opposite",1,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 4B","Part-Step Opposite",2,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 4B","Part-Step Opposite",3,"X",0.250094452611863,0.5354023139612,0.285307861349337
"Scenario 4B","Part-Step Opposite",4,"X",0.250094452611863,0.539270827029197,0.289176374417334
"Scenario 4B","Part-Step Opposite",5,"X",0.250094452611863,0.540057876054892,0.289963423443029
"Scenario 5B","Part-Linear Opposite",1,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 5B","Part-Linear Opposite",2,"X",0.235882250903942,0.516641364227202,0.28075911332326
"Scenario 5B","Part-Linear Opposite",3,"X",0.239529001822034,0.523194332346069,0.283665330524034
"Scenario 5B","Part-Linear Opposite",4,"X",0.244266402391341,0.531919962196416,0.287653559805075
"Scenario 5B","Part-Linear Opposite",5,"X",0.250094452611863,0.542631785784429,0.292537333172566
"Scenario 5D","Part-Proportional Opposite",1,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 5D","Part-Proportional Opposite",2,"X",0.231600126474379,0.508780891350457,0.277180764876079
"Scenario 5D","Part-Proportional Opposite",3,"X",0.236958186888315,0.517141187946871,0.280183001058556
"Scenario 5D","Part-Proportional Opposite",4,"X",0.232424395472507,0.506758380238595,0.274333984766087
"Scenario 5D","Part-Proportional Opposite",5,"X",0.248518113931904,0.52900922715004,0.280491113218136
"Scenario 6","Chaotic Effects",1,"X",0.233326149637064,0.512569013618298,0.279242863981234
"Scenario 6","Chaotic Effects",2,"X",0.433144543173719,0.760130948761058,0.326986405587339
"Scenario 6","Chaotic Effects",3,"X",0.389138489696846,0.704409355926848,0.315270866230002
"Scenario 6","Chaotic Effects",4,"X",0.397773856223155,0.703997017665793,0.306223161442637
"Scenario 6","Chaotic Effects",5,"X",0.370995621364419,0.670677439684784,0.299681818320364
"Scenario 4A","Part-Step",1,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 4A","Part-Step",2,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 4A","Part-Step",3,"Y",0.132645965094551,0.434780259238479,0.302134294143928
