"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"CLPM lag 2",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0323171372281245
"CLPM lag 2",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0485174379608317
"CLPM lag 2",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.016802236149857
"CLPM lag 2",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0349007863097549
"CLPM lag 2",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00774098155112681
"CLPM lag 2",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0237222998201792
"CLPM lag 2",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00923950872848341
"CLPM lag 2",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0442453508302475
"CLPM lag 2",5,"Scenario~0","No~Confounding","Scenario 0",5.11050105755905e-10
"CLPM lag 2",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.00884475982625615
"CLPM lag 2",5,"Scenario~2","Step","Scenario 2",0.06812241630828
"CLPM lag 2",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0812610470595391
"CLPM lag 2",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0778621577727551
"CLPM lag 2",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0368360678989505
"CLPM lag 2",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0142686307595913
"CLPM lag 2",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0480800275843976
"CLPM lag 2",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.014859275136161
"CLPM lag 2",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0395179187287753
"CLPM lag 2",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0125062771689592
"CLPM lag 2",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.03932137775957
"DPM",2,"Scenario~0","No~Confounding","Scenario 0",5.27648844026571e-09
"DPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",8.25767432280152e-10
"DPM",2,"Scenario~2","Step","Scenario 2",0.0207599751774528
"DPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0221648729455746
"DPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.00357006952225084
