"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"CLPM lag 2",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.000976726655499804
"CLPM lag 2",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0170621751384331
"CLPM lag 2",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0183820277013177
"CLPM lag 2",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0178457818201549
"CLPM lag 2",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0141084702196412
"CLPM lag 2",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0122145423352451
"CLPM lag 2",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0163411185260328
"CLPM lag 2",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0160065121925724
"CLPM lag 2",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0304427795187911
"CLPM lag 2",4,"Scenario~0","No~Confounding","Scenario 0",1.30649978336006e-09
"CLPM lag 2",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0148744957900878
"CLPM lag 2",4,"Scenario~2","Step","Scenario 2",0.0115007373035823
"CLPM lag 2",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0135645928221459
"CLPM lag 2",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0103712877085502
"CLPM lag 2",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00854092303012581
"CLPM lag 2",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.021089897415431
"CLPM lag 2",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0106732767423447
"CLPM lag 2",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0142751166451499
"CLPM lag 2",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0123926891976854
"CLPM lag 2",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0127909190836528
"CLPM lag 2",4,"Scenario~6","Chaotic~Effects","Scenario 6",1.98020098973739e-06
"CLPM lag 2",5,"Scenario~0","No~Confounding","Scenario 0",4.74106448544731e-10
"CLPM lag 2",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0148744985162045
"CLPM lag 2",5,"Scenario~2","Step","Scenario 2",0.0334047215427755
"CLPM lag 2",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0299649578450376
"CLPM lag 2",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0190459843414245
"CLPM lag 2",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00177840212873018
"CLPM lag 2",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0187310895998252
"CLPM lag 2",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00716348164190182
"CLPM lag 2",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0178681123162366
"CLPM lag 2",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0182152958235279
"CLPM lag 2",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0173079154213309
"CLPM lag 2",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.00347045014132316
"DPM",2,"Scenario~0","No~Confounding","Scenario 0",3.30905701451112e-09
"DPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",5.31473200171551e-09
"DPM",2,"Scenario~2","Step","Scenario 2",0.0148478487429306
"DPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0173038480415306
"DPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.00223823881952344
"DPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00320236720012809
"DPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00175185264335008
"DPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00425820146992796
"DPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00599439756481285
"DPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.000911639739523115
"DPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.000795045146378029
"DPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0121662109264994
"DPM",3,"Scenario~0","No~Confounding","Scenario 0",8.96987019383122e-09
"DPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",5.29256019565771e-09
"DPM",3,"Scenario~2","Step","Scenario 2",0.00458247697856409
"DPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0131054152214214
"DPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.000315498860041438
"DPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00801011749084329
"DPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00424516655620702
"DPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0070975478845353
"DPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00251085502684431
"DPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.000360654066937569
"DPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",8.03472929314514e-05
"DPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.00536406695951895
"DPM",4,"Scenario~0","No~Confounding","Scenario 0",1.1384614292953e-08
"DPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",5.22731137542198e-09
"DPM",4,"Scenario~2","Step","Scenario 2",0.0026929756316544
"DPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.00837965658963524
