"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"CLPM lag 2",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0788408171573675
"CLPM lag 2",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0918286830406828
"CLPM lag 2",3,"Scenario~0","No~Confounding","Scenario 0",2.05112238001245e-09
"CLPM lag 2",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0308963709180298
"CLPM lag 2",3,"Scenario~2","Step","Scenario 2",0.0330453218243518
"CLPM lag 2",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0417132552055008
"CLPM lag 2",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.039482085876779
"CLPM lag 2",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0312152779943253
"CLPM lag 2",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0293052423800242
"CLPM lag 2",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0426282017731691
"CLPM lag 2",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0214350814880285
"CLPM lag 2",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0372142561760803
"CLPM lag 2",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0314350914846215
"CLPM lag 2",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0616720693321222
"CLPM lag 2",4,"Scenario~0","No~Confounding","Scenario 0",1.38680100787258e-09
"CLPM lag 2",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0308963702184043
"CLPM lag 2",4,"Scenario~2","Step","Scenario 2",0.051993135159163
"CLPM lag 2",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0362622826965705
"CLPM lag 2",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0107939218685978
"CLPM lag 2",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0479304588522511
"CLPM lag 2",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0333223614572018
"CLPM lag 2",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0358541041120211
"CLPM lag 2",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.019857775905685
"CLPM lag 2",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0186248662980886
"CLPM lag 2",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0301741462087237
"CLPM lag 2",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.00372343163612756
"CLPM lag 2",5,"Scenario~0","No~Confounding","Scenario 0",5.11050105755905e-10
"CLPM lag 2",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.030896370480441
"CLPM lag 2",5,"Scenario~2","Step","Scenario 2",0.0316418101596747
"CLPM lag 2",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0459106019892695
"CLPM lag 2",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0519083985803464
"CLPM lag 2",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0186537222095023
"CLPM lag 2",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0366203492629245
"CLPM lag 2",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0339974317244654
"CLPM lag 2",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.023801538825687
"CLPM lag 2",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0478937299181824
"CLPM lag 2",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0313246545595198
"CLPM lag 2",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.0145499579378932
"DPM",2,"Scenario~0","No~Confounding","Scenario 0",5.27648844026571e-09
"DPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",5.66375004592992e-09
"DPM",2,"Scenario~2","Step","Scenario 2",0.0133709555153256
"DPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0138885771412206
"DPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.00713779595451582
"DPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0102881207629268
"DPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00132692485532281
"DPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00693154810718615
"DPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0112468975586069
"DPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00459161403530966
"DPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.000928743446322662
"DPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0259718134560782
"DPM",3,"Scenario~0","No~Confounding","Scenario 0",6.37945622573155e-09
"DPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",6.48553626587747e-09
